yt_id;q_id;videoname
GN0P5RkQAow;Q15980184;Mantegna, Camera degli Sposi
EAR9RAMg9NY;Q1136305;Polykleitos, Doryphoros (Spear Bearer)
hrBMFNvvOBI;Q700834;Correggio, Jupiter and Io
uvgBSJPiQ8Y;Q3944648;Brunelleschi & Ghiberti, the Sacrifice of Isaac
jYZ71Zma9Gc;Q578805;Brunelleschi, Old Sacristy
2fijnNzktDI;Q667202;Duccio, Maesta (front)
cZuYdIRAIAs;Q582172;Thutmose, Bust of Nefertiti
hMzFbORRiss;Q2736379;Masaccio, Expulsion of Adam and Eve from Eden
ryycDVWXDvc;Q1662447;Akhenaten, Nefertiti, and Three Daughters
3i8iou6tXqY;Q667124;Augustus of Primaporta
Ea6qS3nuvng;Q1387483;Bosch, the Last Judgment
-oXAekrYytA;Q179900;David (marble statue)
BRUOACBkFRg;Q698487;Gustav Klimt, The Kiss
983Tu9rlP54;Q684689;Gustav Klimt, Beethoven Frieze
oDPNSPbjzQ8;Q1759631;Masaccio, The Tribute Money in the Brancacci Chapel
Nok4cBt0V6w;Q524447;Standard of Ur from the Royal Tombs at Ur
ENAZqOoOVaI;Q131397;Nude woman (Venus of Willendorf)
J9_ouZpBknM;Q2326860;Donatello, Feast of Herod
STs6h1qUSGs;Q3947115;Bellini, St. Francis
xdIVZrr_8tI;Q1541884;Sluter, Well of Moses
U8d45ETt78o;Q1452762;"Gustave Caillebotte, Paris Street; Rainy Day"
jnxA293u8cs;Q19904811;Cranach the Elder, Judith with the Head of Holofernes
YnYknwUqaCM;Q7733345;Veronese, The Family of Darius Before Alexander
H3uBAVI4xC4;Q20275938;Poussin, Landscape with St. John
ascpn9AjCIk;Lane, Owl's Head, Penobscot Bay, Maine;Lane, Owl's Head, Penobscot Bay, Maine
Bgrwohxf9Ws;Q2274267;Tintoretto, the Origin of the Milky Way
I2M7U8eCeHA;Q1065493;Sir John Everett Millais, Ophelia
DMxaK0xjIdE;Q18686639;Fuseli, Titania and Bottom
9gnM72T4DTE;Q7715071;Hunt, the Awakening Conscience
HhN5Zkbpt_k;Q1395192;Van der Weyden, Crucifixion Triptych
tIqO2GS8O64;Q18689510;"Hunt, Our English Coasts (""Strayed Sheep"")"
2lXL4HscWGI;Q3697650;Rosso Fiorentino, the Dead Christ with Angels
HVuyK_vIMfc;Q14915747;Cassatt, In the Loge
dBrKCtx4TfA;Q19900658;Cole, Expulsion from the Garden of Eden
nRPLiTZAry4;Q960157;Sir John Everett Millais, Christ in the House of His Parents
2Vv9BhnE0SQ;Q22337850;C‚zanne, The Red Rock
j24uh8cZ3wA;Q83872;Hopper, Nighthawks
60u_ctp6UIw;Q42187500;Copley, Boy with a Squirrel
L3SIooVHV8E;Q158058;Great Altar of Zeus and Athena at Pergamon
hJOU3EK085M;Q4373334;Holbein the Younger, Christina of Denmark
_DgeQ7rpIHI;Q334360;Friedrich, Abbey among Oak Trees
Axox0C6aoTo;Q18508789;Campin, Christ and the Virgin
HNoyVb1hr7g;Q18686015;Wallis, Chatterton
ULgGEXBmNlw;Q5189814;Van der Weyden, Crucifixion, with the Virgin and Saint John
XLcbGHNFcpM;Q3607521;Toulouse-Lautrec, At the Moulin Rouge
YlhDUSntCI4;Q1198515;Friedrich, The Lone Tree
5wptm7lPZyE;Q18685328;Martini, Architectural Veduta
zA2KSx5OYog;Q7797015;John Roddam Spencer Stanhope, Thoughts of the Past
XIkryXkz8a4;Q1227359;Piero della Francesca, Portraits of the Duke and Duchess of Urbino
znVEFfIdo1o;Q254794;Drer, the Large Piece of Turf
E1tA9-ypx0g;Q18713070;Van Gogh, The Bedroom
DjNMJpdFPGA;Q4281369;Millais, Mariana
croM4PvOdbM;Q28797691;Schiele, Seated Male Nude (Self-Portrait)
baifq1b1-i4;Q2805058;Cranach the Elder, Cupid complaining to Venus
PqRx4OV5jhM;Q28797696;Schiele, Hermits
VQniy8iq9EQ;Q7737113;Burne-Jones, The Golden Stairs
_lzdhIHLwcQ;Q3910903;Lorenzetti, Presentation of Jesus in the Temple
mSPumIx85l8;Q533619;Bruegel, the Dutch Proverbs
w1dqzlTTm0E;Q18686539;Fragonard, The Meeting
eNhrYgYV0MA;Q481454;Manet, In the Conservatory
6HTBjvqn9uw;Q3660765;Degas, At the Races in the Countryside
PQZUIGzinZA;Q1212937;Holbein the Younger, the Ambassadors
3sCB3udmu1Y;Q18683105;Modigliani, Young Woman in a Shirt
iQY3SdZeZ6g;Q17277873;C‚zanne, Bathers
vUxYPrznFLw;Q18683083;Jawlensky, Young Girl in a Flowered Hat
YDYxQMBm50k;Q20807929;Alma-Tadema, Listening to Homer
-bnCHws9qmw;Q1560719;Sargent, Carnation, Lily, Lily, Rose
iQ5uG6ryCa4;Q17647822;Hals, Singing Boy with Flute
uvA6YY4yHtM;Q782639;Vermeer, The Glass of Wine
fpgvjMKCyAA;Q1328065;Bronzino, Portrait of Eleonora of Toledo with her son Giovanni
WV3MXLAfIi4;Q20812914;Homer, The Life Line
CHfU9EDwOwU;Q18683181;Buddha of Medicine Bhaishajyaguru (Yaoshi fo)
wvtPCKwGZCU;Q20539175;Degas, Visit to a Museum
XkcHktjqI1s;Q693746;Friedrich, Monk by the Sea
vk2GvyNmYD0;Q464782;Wood, American Gothic
B0eHEo-f6fc;Q2741541;Van der Goes, The Adoration of the Kings
JCKshDyxjuw;Q18683906;Monet, Poplars
kK38qqvLQ2I;Q21129709;Holbein the Younger, the Merchant Georg Gisze
PI9DjVjeV2A;Q18688335;Veronese, the Dream of Saint Helena
F00vnE37pIE;Q5899057;Burne-Jones, Hope
H95wT4wT95w;Q20776718;Allston, Elijah in the Desert
K6BKDveCd9w;Q15295671;Bruegel, Tower of Babel
qD6ct0VS15c;Q727875;Titian, Venus of Urbino
guxLpVICBjg;Q15130000;Cassatt, Woman with a Pearl Necklace in a Loge
9fiJ7mSzamw;Q18685738;David, the Virgin and Child with Saints and Donor
3SmyaLwpSaI;Q18683364;Renoir, The Grands Boulevards
be9rz_HOnXI;Q3714311;Giotto, The Entombment of Mary
7qaxUhbiQUc;Q2501284;Renoir, The Large Bathers
b3GToHvtFG8;Q5456612;Jasper Johns, Flag, 1954-55
1JL5ZR-ocOs;Q948745;Duccio, The Rucellai Madonna
z9s_uJlG3b8;Q12162390;Homer, The Fog Warning (Halibut Fishing)
O4St29B7cmU;Q3172226;Cassatt, The Child's Bath
3oeLGKeNPj0;Q3172226;B”cklin, Self-Portrait with Death Playing the Fiddle
26WASJHF46A;Q3172226;The Unicorn in Captivity
9vI1kP-9zpw;Q7190121;Matisse, Piano Lesson
G37C5vKCwH4;Q7897692;Donald Judd, Untitled
K3XTsNlcDS8;Q731639;Manet, Plum Brandy
